"","N","%Valid","%Cum.Valid","%Total","%Cum.Total"
"Abejorral-5002",7266,0.92,0.92,0.92,0.92
"Abrego-54003",0,0,0.92,0,0.92
"Abriaqui-5004",814,0.1,1.02,0.1,1.02
"Acacias-50006",0,0,1.02,0,1.02
"Acandi-27006",0,0,1.02,0,1.02
"Acevedo-41006",0,0,1.02,0,1.02
"Achi-13006",0,0,1.02,0,1.02
"Agrado-41013",0,0,1.02,0,1.02
"Agua De Dios-25001",0,0,1.02,0,1.02
"Aguachica-20011",0,0,1.02,0,1.02
"Aguada-68013",0,0,1.02,0,1.02
"Aguadas-17013",0,0,1.02,0,1.02
"Aguazul-85010",0,0,1.02,0,1.02
"Agustin Codazzi-20013",0,0,1.02,0,1.02
"Aipe-41016",0,0,1.02,0,1.02
"Alban-25019",0,0,1.02,0,1.02
"Alban-52019",0,0,1.02,0,1.02
"Albania-18029",0,0,1.02,0,1.02
"Albania-44035",0,0,1.02,0,1.02
"Albania-68020",0,0,1.02,0,1.02
"Alcala-76020",0,0,1.02,0,1.02
"Aldana-52022",0,0,1.02,0,1.02
"Alejandria-5021",3976,0.5,1.52,0.5,1.52
"Algarrobo-47030",0,0,1.52,0,1.52
"Algeciras-41020",0,0,1.52,0,1.52
"Almaguer-19022",0,0,1.52,0,1.52
"Almeida-15022",0,0,1.52,0,1.52
"Alpujarra-73024",0,0,1.52,0,1.52
"Altamira-41026",0,0,1.52,0,1.52
"Alto Baudo-27025",0,0,1.52,0,1.52
"Altos Del Rosario-13030",0,0,1.52,0,1.52
"Alvarado-73026",0,0,1.52,0,1.52
"Amaga-5030",1156,0.15,1.66,0.15,1.66
"Amalfi-5031",4573,0.58,2.24,0.58,2.24
"Ambalema-73030",0,0,2.24,0,2.24
"Anapoima-25035",0,0,2.24,0,2.24
"Ancuya-52036",0,0,2.24,0,2.24
"Andalucia-76036",0,0,2.24,0,2.24
"Andes-5034",2647,0.33,2.57,0.33,2.57
"Angelopolis-5036",1208,0.15,2.73,0.15,2.73
"Angostura-5038",2110,0.27,2.99,0.27,2.99
"Anolaima-25040",0,0,2.99,0,2.99
"Anori-5040",5486,0.69,3.68,0.69,3.68
"Anserma-17042",0,0,3.68,0,3.68
"Ansermanuevo-76041",0,0,3.68,0,3.68
"Anza-5044",1750,0.22,3.9,0.22,3.9
"Anzoategui-73043",0,0,3.9,0,3.9
"Apartado-5045",37813,4.76,8.67,4.76,8.67
"Apia-66045",0,0,8.67,0,8.67
"Apulo-25599",0,0,8.67,0,8.67
"Aquitania-15047",0,0,8.67,0,8.67
"Aracataca-47053",0,0,8.67,0,8.67
"Aranzazu-17050",0,0,8.67,0,8.67
"Aratoca-68051",0,0,8.67,0,8.67
"Arauca-81001",0,0,8.67,0,8.67
"Arauquita-81065",0,0,8.67,0,8.67
"Arbelaez-25053",0,0,8.67,0,8.67
"Arboleda-52051",0,0,8.67,0,8.67
"Arboledas-54051",0,0,8.67,0,8.67
"Arboletes-5051",7574,0.95,9.62,0.95,9.62
"Arcabuco-15051",0,0,9.62,0,9.62
"Arenal-13042",0,0,9.62,0,9.62
"Argelia-19050",0,0,9.62,0,9.62
"Argelia-5055",13083,1.65,11.27,1.65,11.27
"Argelia-76054",0,0,11.27,0,11.27
"Ariguani-47058",0,0,11.27,0,11.27
"Arjona-13052",0,0,11.27,0,11.27
"Armenia-5059",367,0.05,11.32,0.05,11.32
"Armenia-63001",0,0,11.32,0,11.32
"Armero-73055",0,0,11.32,0,11.32
"Arroyohondo-13062",0,0,11.32,0,11.32
"Astrea-20032",0,0,11.32,0,11.32
"Ataco-73067",0,0,11.32,0,11.32
"Atrato-27050",0,0,11.32,0,11.32
"Ayapel-23068",0,0,11.32,0,11.32
"Bagado-27073",0,0,11.32,0,11.32
"Bahia Solano-27075",0,0,11.32,0,11.32
"Bajo Baudo-27077",0,0,11.32,0,11.32
"Balboa-19075",0,0,11.32,0,11.32
"Balboa-66075",0,0,11.32,0,11.32
"Baranoa-8078",0,0,11.32,0,11.32
"Baraya-41078",0,0,11.32,0,11.32
"Barbacoas-52079",0,0,11.32,0,11.32
"Barbosa-5079",2412,0.3,11.62,0.3,11.62
"Barbosa-68077",0,0,11.62,0,11.62
"Barichara-68079",0,0,11.62,0,11.62
"Barranca De Upia-50110",0,0,11.62,0,11.62
"Barrancabermeja-68081",0,0,11.62,0,11.62
"Barrancas-44078",0,0,11.62,0,11.62
"Barranco De Loba-13074",0,0,11.62,0,11.62
"Barranco Minas-94343",0,0,11.62,0,11.62
"Barranquilla-8001",0,0,11.62,0,11.62
"Becerril-20045",0,0,11.62,0,11.62
"Belalcazar-17088",0,0,11.62,0,11.62
"Belen De Bajira-27086",0,0,11.62,0,11.62
"Belen De Los Andaquies-18094",0,0,11.62,0,11.62
"Belen De Umbria-66088",0,0,11.62,0,11.62
"Belen-15087",0,0,11.62,0,11.62
"Belen-52083",0,0,11.62,0,11.62
"Bello-5088",4847,0.61,12.23,0.61,12.23
"Belmira-5086",382,0.05,12.28,0.05,12.28
"Beltran-25086",0,0,12.28,0,12.28
"Berbeo-15090",0,0,12.28,0,12.28
"Betania-5091",1705,0.21,12.5,0.21,12.5
"Beteitiva-15092",0,0,12.5,0,12.5
"Betulia-5093",8775,1.11,13.6,1.11,13.6
"Betulia-68092",0,0,13.6,0,13.6
"Bituima-25095",0,0,13.6,0,13.6
"Boavita-15097",0,0,13.6,0,13.6
"Bochalema-54099",0,0,13.6,0,13.6
"Bogota, D.C.-11001",0,0,13.6,0,13.6
"Bojaca-25099",0,0,13.6,0,13.6
"Bojaya-27099",0,0,13.6,0,13.6
"Bolivar-19100",0,0,13.6,0,13.6
"Bolivar-68101",0,0,13.6,0,13.6
"Bolivar-76100",0,0,13.6,0,13.6
"Bosconia-20060",0,0,13.6,0,13.6
"Boyaca-15104",0,0,13.6,0,13.6
"Briceño-15106",0,0,13.6,0,13.6
"Briceño-5107",4234,0.53,14.13,0.53,14.13
"Bucaramanga-68001",0,0,14.13,0,14.13
"Bucarasica-54109",0,0,14.13,0,14.13
"Buenaventura-76109",0,0,14.13,0,14.13
"Buenavista-15109",0,0,14.13,0,14.13
"Buenavista-23079",0,0,14.13,0,14.13
"Buenavista-63111",0,0,14.13,0,14.13
"Buenavista-70110",0,0,14.13,0,14.13
"Buenos Aires-19110",0,0,14.13,0,14.13
"Buesaco-52110",0,0,14.13,0,14.13
"Bugalagrande-76113",0,0,14.13,0,14.13
"Buritica-5113",2633,0.33,14.47,0.33,14.47
"Busbanza-15114",0,0,14.47,0,14.47
"Cañasgordas-5138",5690,0.72,15.18,0.72,15.18
"Cabrera-25120",0,0,15.18,0,15.18
"Cabrera-68121",0,0,15.18,0,15.18
"Cabuyaro-50124",0,0,15.18,0,15.18
"Cacahual-94886",0,0,15.18,0,15.18
"Caceres-5120",11982,1.51,16.69,1.51,16.69
"Cachipay-25123",0,0,16.69,0,16.69
"Cachira-54128",0,0,16.69,0,16.69
"Cacota-54125",0,0,16.69,0,16.69
"Caicedo-5125",2009,0.25,16.95,0.25,16.95
"Caicedonia-76122",0,0,16.95,0,16.95
"Caimito-70124",0,0,16.95,0,16.95
"Cajamarca-73124",0,0,16.95,0,16.95
"Cajibio-19130",0,0,16.95,0,16.95
"Cajica-25126",0,0,16.95,0,16.95
"Calamar-13140",0,0,16.95,0,16.95
"Calamar-95015",0,0,16.95,0,16.95
"Calarca-63130",0,0,16.95,0,16.95
"Caldas-15131",0,0,16.95,0,16.95
"Caldas-5129",1008,0.13,17.07,0.13,17.07
"Caldono-19137",0,0,17.07,0,17.07
"Cali-76001",0,0,17.07,0,17.07
"California-68132",0,0,17.07,0,17.07
"Calima-76126",0,0,17.07,0,17.07
"Caloto-19142",0,0,17.07,0,17.07
"Campamento-5134",2161,0.27,17.35,0.27,17.35
"Campo De La Cruz-8137",0,0,17.35,0,17.35
"Campoalegre-41132",0,0,17.35,0,17.35
"Campohermoso-15135",0,0,17.35,0,17.35
"Canalete-23090",0,0,17.35,0,17.35
"Candelaria-76130",0,0,17.35,0,17.35
"Candelaria-8141",0,0,17.35,0,17.35
"Cantagallo-13160",0,0,17.35,0,17.35
"Caparrapi-25148",0,0,17.35,0,17.35
"Capitanejo-68147",0,0,17.35,0,17.35
"Caqueza-25151",0,0,17.35,0,17.35
"Caracoli-5142",548,0.07,17.41,0.07,17.41
"Caramanta-5145",392,0.05,17.46,0.05,17.46
"Carcasi-68152",0,0,17.46,0,17.46
"Carepa-5147",10633,1.34,18.8,1.34,18.8
"Carmen De Apicala-73148",0,0,18.8,0,18.8
"Carmen De Carupa-25154",0,0,18.8,0,18.8
"Carmen Del Darien-27150",0,0,18.8,0,18.8
"Carolina-5150",242,0.03,18.83,0.03,18.83
"Cartagena Del Chaira-18150",0,0,18.83,0,18.83
"Cartagena-13001",0,0,18.83,0,18.83
"Cartago-76147",0,0,18.83,0,18.83
"Caruru-97161",0,0,18.83,0,18.83
"Casabianca-73152",0,0,18.83,0,18.83
"Castilla La Nueva-50150",0,0,18.83,0,18.83
"Caucasia-5154",14179,1.79,20.62,1.79,20.62
"Cepita-68160",0,0,20.62,0,20.62
"Cerete-23162",0,0,20.62,0,20.62
"Cerinza-15162",0,0,20.62,0,20.62
"Cerrito-68162",0,0,20.62,0,20.62
"Cerro San Antonio-47161",0,0,20.62,0,20.62
"Certegui-27160",0,0,20.62,0,20.62
"Chachagui-52240",0,0,20.62,0,20.62
"Chaguani-25168",0,0,20.62,0,20.62
"Chalan-70230",0,0,20.62,0,20.62
"Chameza-85015",0,0,20.62,0,20.62
"Chaparral-73168",0,0,20.62,0,20.62
"Charala-68167",0,0,20.62,0,20.62
"Charta-68169",0,0,20.62,0,20.62
"Chia-25175",0,0,20.62,0,20.62
"Chibolo-47170",0,0,20.62,0,20.62
"Chigorodo-5172",19632,2.47,23.09,2.47,23.09
"Chima-23168",0,0,23.09,0,23.09
"Chima-68176",0,0,23.09,0,23.09
"Chimichagua-20175",0,0,23.09,0,23.09
"Chinacota-54172",0,0,23.09,0,23.09
"Chinavita-15172",0,0,23.09,0,23.09
"Chinchina-17174",0,0,23.09,0,23.09
"Chinu-23182",0,0,23.09,0,23.09
"Chipaque-25178",0,0,23.09,0,23.09
"Chipata-68179",0,0,23.09,0,23.09
"Chiquinquira-15176",0,0,23.09,0,23.09
"Chiquiza-15232",0,0,23.09,0,23.09
"Chiriguana-20178",0,0,23.09,0,23.09
"Chiscas-15180",0,0,23.09,0,23.09
"Chita-15183",0,0,23.09,0,23.09
"Chitaga-54174",0,0,23.09,0,23.09
"Chitaraque-15185",0,0,23.09,0,23.09
"Chivata-15187",0,0,23.09,0,23.09
"Chivor-15236",0,0,23.09,0,23.09
"Choachi-25181",0,0,23.09,0,23.09
"Choconta-25183",0,0,23.09,0,23.09
"Cicuco-13188",0,0,23.09,0,23.09
"Cienaga De Oro-23189",0,0,23.09,0,23.09
"Cienaga-47189",0,0,23.09,0,23.09
"Cimitarra-68190",0,0,23.09,0,23.09
"Circasia-63190",0,0,23.09,0,23.09
"Cisneros-5190",596,0.08,23.17,0.08,23.17
"Ciudad Bolivar-5101",2780,0.35,23.52,0.35,23.52
"Clemencia-13222",0,0,23.52,0,23.52
"Cocorna-5197",20639,2.6,26.12,2.6,26.12
"Coello-73200",0,0,26.12,0,26.12
"Cogua-25200",0,0,26.12,0,26.12
"Colombia-41206",0,0,26.12,0,26.12
"Colon-52203",0,0,26.12,0,26.12
"Colon-86219",0,0,26.12,0,26.12
"Coloso-70204",0,0,26.12,0,26.12
"Combita-15204",0,0,26.12,0,26.12
"Concepcion-5206",2218,0.28,26.4,0.28,26.4
"Concepcion-68207",0,0,26.4,0,26.4
"Concordia-47205",0,0,26.4,0,26.4
"Concordia-5209",2771,0.35,26.75,0.35,26.75
"Condoto-27205",0,0,26.75,0,26.75
"Confines-68209",0,0,26.75,0,26.75
"Consaca-52207",0,0,26.75,0,26.75
"Contadero-52210",0,0,26.75,0,26.75
"Contratacion-68211",0,0,26.75,0,26.75
"Convencion-54206",0,0,26.75,0,26.75
"Copacabana-5212",607,0.08,26.82,0.08,26.82
"Coper-15212",0,0,26.82,0,26.82
"Cordoba-13212",0,0,26.82,0,26.82
"Cordoba-52215",0,0,26.82,0,26.82
"Cordoba-63212",0,0,26.82,0,26.82
"Corinto-19212",0,0,26.82,0,26.82
"Coromoro-68217",0,0,26.82,0,26.82
"Corozal-70215",0,0,26.82,0,26.82
"Cota-25214",0,0,26.82,0,26.82
"Cotorra-23300",0,0,26.82,0,26.82
"Covarachia-15218",0,0,26.82,0,26.82
"Coveñas-70221",0,0,26.82,0,26.82
"Coyaima-73217",0,0,26.82,0,26.82
"Cravo Norte-81220",0,0,26.82,0,26.82
"Cuaspud-52224",0,0,26.82,0,26.82
"Cubara-15223",0,0,26.82,0,26.82
"Cubarral-50223",0,0,26.82,0,26.82
"Cucaita-15224",0,0,26.82,0,26.82
"Cucuta-54001",0,0,26.82,0,26.82
"Cucutilla-54223",0,0,26.82,0,26.82
"Cuitiva-15226",0,0,26.82,0,26.82
"Cumaral-50226",0,0,26.82,0,26.82
"Cumaribo-99773",0,0,26.82,0,26.82
"Cumbal-52227",0,0,26.82,0,26.82
"Cumbitara-52233",0,0,26.82,0,26.82
"Cunday-73226",0,0,26.82,0,26.82
"Curillo-18205",0,0,26.82,0,26.82
"Curiti-68229",0,0,26.82,0,26.82
"Curumani-20228",0,0,26.82,0,26.82
"Dabeiba-5234",26604,3.35,30.18,3.35,30.18
"Dagua-76233",0,0,30.18,0,30.18
"Dibulla-44090",0,0,30.18,0,30.18
"Distraccion-44098",0,0,30.18,0,30.18
"Dolores-73236",0,0,30.18,0,30.18
"Donmatias-5237",345,0.04,30.22,0.04,30.22
"Dosquebradas-66170",0,0,30.22,0,30.22
"Duitama-15238",0,0,30.22,0,30.22
"Durania-54239",0,0,30.22,0,30.22
"Ebejico-5240",573,0.07,30.29,0.07,30.29
"El Aguila-76243",0,0,30.29,0,30.29
"El Bagre-5250",21814,2.75,33.04,2.75,33.04
"El Banco-47245",0,0,33.04,0,33.04
"El Cairo-76246",0,0,33.04,0,33.04
"El Calvario-50245",0,0,33.04,0,33.04
"El Canton Del San Pablo-27135",0,0,33.04,0,33.04
"El Carmen De Atrato-27245",0,0,33.04,0,33.04
"El Carmen De Bolivar-13244",0,0,33.04,0,33.04
"El Carmen De Chucuri-68235",0,0,33.04,0,33.04
"El Carmen De Viboral-5148",6446,0.81,33.85,0.81,33.85
"El Carmen-54245",0,0,33.85,0,33.85
"El Castillo-50251",0,0,33.85,0,33.85
"El Cerrito-76248",0,0,33.85,0,33.85
"El Charco-52250",0,0,33.85,0,33.85
"El Cocuy-15244",0,0,33.85,0,33.85
"El Colegio-25245",0,0,33.85,0,33.85
"El Copey-20238",0,0,33.85,0,33.85
"El Doncello-18247",0,0,33.85,0,33.85
"El Dorado-50270",0,0,33.85,0,33.85
"El Dovio-76250",0,0,33.85,0,33.85
"El Encanto-91263",0,0,33.85,0,33.85
"El Espino-15248",0,0,33.85,0,33.85
"El Guacamayo-68245",0,0,33.85,0,33.85
"El Guamo-13248",0,0,33.85,0,33.85
"El Litoral Del San Juan-27250",0,0,33.85,0,33.85
"El Molino-44110",0,0,33.85,0,33.85
"El Paso-20250",0,0,33.85,0,33.85
"El Paujil-18256",0,0,33.85,0,33.85
"El Peñol-52254",0,0,33.85,0,33.85
"El Peñon-13268",0,0,33.85,0,33.85
"El Peñon-25258",0,0,33.85,0,33.85
"El Peñon-68250",0,0,33.85,0,33.85
"El Piñon-47258",0,0,33.85,0,33.85
"El Playon-68255",0,0,33.85,0,33.85
"El Reten-47268",0,0,33.85,0,33.85
"El Retorno-95025",0,0,33.85,0,33.85
"El Roble-70233",0,0,33.85,0,33.85
"El Rosal-25260",0,0,33.85,0,33.85
"El Rosario-52256",0,0,33.85,0,33.85
"El Santuario-5697",3121,0.39,34.25,0.39,34.25
"El Tablon de Gomez-52258",0,0,34.25,0,34.25
"El Tambo-19256",0,0,34.25,0,34.25
"El Tambo-52260",0,0,34.25,0,34.25
"El Tarra-54250",0,0,34.25,0,34.25
"El Zulia-54261",0,0,34.25,0,34.25
"Elias-41244",0,0,34.25,0,34.25
"Encino-68264",0,0,34.25,0,34.25
"Enciso-68266",0,0,34.25,0,34.25
"Entrerrios-5264",123,0.02,34.26,0.02,34.26
"Envigado-5266",257,0.03,34.29,0.03,34.29
"Espinal-73268",0,0,34.29,0,34.29
"Facatativa-25269",0,0,34.29,0,34.29
"Falan-73270",0,0,34.29,0,34.29
"Filadelfia-17272",0,0,34.29,0,34.29
"Filandia-63272",0,0,34.29,0,34.29
"Firavitoba-15272",0,0,34.29,0,34.29
"Flandes-73275",0,0,34.29,0,34.29
"Florencia-18001",0,0,34.29,0,34.29
"Florencia-19290",0,0,34.29,0,34.29
"Floresta-15276",0,0,34.29,0,34.29
"Florian-68271",0,0,34.29,0,34.29
"Florida-76275",0,0,34.29,0,34.29
"Floridablanca-68276",0,0,34.29,0,34.29
"Fomeque-25279",0,0,34.29,0,34.29
"Fonseca-44279",0,0,34.29,0,34.29
"Fortul-81300",0,0,34.29,0,34.29
"Fosca-25281",0,0,34.29,0,34.29
"Francisco Pizarro-52520",0,0,34.29,0,34.29
"Fredonia-5282",413,0.05,34.35,0.05,34.35
"Fresno-73283",0,0,34.35,0,34.35
"Frontino-5284",10199,1.29,35.63,1.29,35.63
"Fuente De Oro-50287",0,0,35.63,0,35.63
"Fundacion-47288",0,0,35.63,0,35.63
"Funes-52287",0,0,35.63,0,35.63
"Funza-25286",0,0,35.63,0,35.63
"Fuquene-25288",0,0,35.63,0,35.63
"Fusagasuga-25290",0,0,35.63,0,35.63
"Gachala-25293",0,0,35.63,0,35.63
"Gachancipa-25295",0,0,35.63,0,35.63
"Gachantiva-15293",0,0,35.63,0,35.63
"Gacheta-25297",0,0,35.63,0,35.63
"Galan-68296",0,0,35.63,0,35.63
"Galapa-8296",0,0,35.63,0,35.63
"Galeras-70235",0,0,35.63,0,35.63
"Gama-25299",0,0,35.63,0,35.63
"Gamarra-20295",0,0,35.63,0,35.63
"Gambita-68298",0,0,35.63,0,35.63
"Gameza-15296",0,0,35.63,0,35.63
"Garagoa-15299",0,0,35.63,0,35.63
"Garzon-41298",0,0,35.63,0,35.63
"Genova-63302",0,0,35.63,0,35.63
"Gigante-41306",0,0,35.63,0,35.63
"Ginebra-76306",0,0,35.63,0,35.63
"Giraldo-5306",405,0.05,35.68,0.05,35.68
"Girardot-25307",0,0,35.68,0,35.68
"Girardota-5308",597,0.08,35.76,0.08,35.76
"Giron-68307",0,0,35.76,0,35.76
"Gomez Plata-5310",483,0.06,35.82,0.06,35.82
"Gonzalez-20310",0,0,35.82,0,35.82
"Gramalote-54313",0,0,35.82,0,35.82
"Granada-25312",0,0,35.82,0,35.82
"Granada-50313",0,0,35.82,0,35.82
"Granada-5313",19051,2.4,38.22,2.4,38.22
"Guaca-68318",0,0,38.22,0,38.22
"Guacamayas-15317",0,0,38.22,0,38.22
"Guacari-76318",0,0,38.22,0,38.22
"Guachene-19300",0,0,38.22,0,38.22
"Guacheta-25317",0,0,38.22,0,38.22
"Guachucal-52317",0,0,38.22,0,38.22
"Guadalajara de Buga-76111",0,0,38.22,0,38.22
"Guadalupe-41319",0,0,38.22,0,38.22
"Guadalupe-5315",838,0.11,38.32,0.11,38.32
"Guadalupe-68320",0,0,38.32,0,38.32
"Guaduas-25320",0,0,38.32,0,38.32
"Guaitarilla-52320",0,0,38.32,0,38.32
"Gualmatan-52323",0,0,38.32,0,38.32
"Guamal-47318",0,0,38.32,0,38.32
"Guamal-50318",0,0,38.32,0,38.32
"Guamo-73319",0,0,38.32,0,38.32
"Guapi-19318",0,0,38.32,0,38.32
"Guapota-68322",0,0,38.32,0,38.32
"Guaranda-70265",0,0,38.32,0,38.32
"Guarne-5318",819,0.1,38.43,0.1,38.43
"Guasca-25322",0,0,38.43,0,38.43
"Guatape-5321",706,0.09,38.52,0.09,38.52
"Guataqui-25324",0,0,38.52,0,38.52
"Guatavita-25326",0,0,38.52,0,38.52
"Guateque-15322",0,0,38.52,0,38.52
"Guatica-66318",0,0,38.52,0,38.52
"Guavata-68324",0,0,38.52,0,38.52
"Guayabal De Siquima-25328",0,0,38.52,0,38.52
"Guayabetal-25335",0,0,38.52,0,38.52
"Guayata-15325",0,0,38.52,0,38.52
"Guepsa-68327",0,0,38.52,0,38.52
"Guican-15332",0,0,38.52,0,38.52
"Gutierrez-25339",0,0,38.52,0,38.52
"Hacari-54344",0,0,38.52,0,38.52
"Hatillo De Loba-13300",0,0,38.52,0,38.52
"Hato Corozal-85125",0,0,38.52,0,38.52
"Hato-68344",0,0,38.52,0,38.52
"Hatonuevo-44378",0,0,38.52,0,38.52
"Heliconia-5347",1394,0.18,38.69,0.18,38.69
"Herran-54347",0,0,38.69,0,38.69
"Herveo-73347",0,0,38.69,0,38.69
"Hispania-5353",149,0.02,38.71,0.02,38.71
"Hobo-41349",0,0,38.71,0,38.71
"Honda-73349",0,0,38.71,0,38.71
"Ibague-73001",0,0,38.71,0,38.71
"Icononzo-73352",0,0,38.71,0,38.71
"Iles-52352",0,0,38.71,0,38.71
"Imues-52354",0,0,38.71,0,38.71
"Inirida-94001",0,0,38.71,0,38.71
"Inza-19355",0,0,38.71,0,38.71
"Ipiales-52356",0,0,38.71,0,38.71
"Iquira-41357",0,0,38.71,0,38.71
"Isnos-41359",0,0,38.71,0,38.71
